guid,expression,meaning,add reverse?,kana,mnemonic,notes,tags
"e1H%/4I,|r",日記,diary,Y,にっき,,,"Genki, Kanji_Practice, leech, lesson-4, 日_and_本"
tm]rG%=Zfv,日本語,Japanese language,Y,にほんご,,,"Genki, Kanji_Practice, lesson-4, 日_and_本"
k/G3(+{5/d,山本さん,Mr./Ms. Yamamoto,Y,やまもとさん,,,"Genki, Kanji_Practice, lesson-4, 日_and_本"
j/yxhAcd0R,日本人,Japanese people,Y,にほんじん,,,"Genki, Kanji_Practice, lesson-4, 人_and_月"
dq2Gt9]RB],この人,this person,Y,このひと,,,"Genki, Kanji_Practice, leech, lesson-4, 人_and_月"
wz^v7Gs[3m,火山,volcano,Y,かざん,,,"Genki, Kanji_Practice, leech, lesson-4, 火_and_水"
cZ.:Mk}0_8,花火,fireworks,Y,はなび,,,"Genki, Kanji_Practice, leech, lesson-4, 火_and_水"
OJQdwk7Q8U,火星,Mars,Y,かせい,,,"Genki, Kanji_Practice, leech, lesson-4, 火_and_水"
EpW43uj*lJ,水泳,swimming,Y,すいえい,,,"Genki, Kanji_Practice, lesson-4, 火_and_水"
Jz&&k41k6P,水道,water supply,Y,すいどう,,,"Genki, Kanji_Practice, leech, lesson-4, 火_and_水"
"O,ee2tKBEQ",水着,Bathing suit,Y,みずぎ,,,"Genki, Kanji_Practice, lesson-4, 火_and_水"
AK|ccb~f%r,木村さん,Mr./Ms. Kimura,Y,きむらさん,,,"Genki, Kanji_Practice, lesson-4, 木"
tyN=#~m6z:,お金,money,Y,おかね,,,"Genki, Kanji_Practice, leech, lesson-4, 木"
c?PvcSX)yI,料金,Charge,Y,りょうきん,,,"Genki, Kanji_Practice, leech, lesson-4, 木"
lQiDu~fQ3e,お金持ち,rich person,Y,おかねもち,,,"Genki, Kanji_Practice, leech, lesson-4, 木"
c&mDrp(Y%o,土地,Land,Y,とち,,,"Genki, Kanji_Practice, leech, lesson-4, 木"
J4V9r!in&B,粘土,clay,Y,ねんど,,,"Genki, Kanji_Practice, lesson-4, 木"
"u~g^,a}qm=",上手な,Good at,Y,じょうずな,,,"Genki, Kanji_Practice, leech, lesson-4, 曜"
"NKmfy,FA94",屋上,Rooftop,Y,おくじょう,,,"Genki, Kanji_Practice, leech, lesson-4, 曜"
jUpI)eVz8z,地下鉄,Subway,Y,ちかてつ,,,"Genki, Kanji_Practice, leech, lesson-4, 曜"
xF;~J5X!VS,下手な,Poor at,Y,へたな,,,"Genki, Kanji_Practice, leech, lesson-4, 曜"
qY3%5Bh#K=,下さい,Please give/do...,Y,ください,,,"Genki, Kanji_Practice, lesson-4, 曜"
Q__Aidy%&w,中国,China,Y,ちゅうごく,,,"Genki, Kanji_Practice, lesson-4, 中_and_半"
B?4Q<%[!r7,中学,junior high school,Y,ちゅうがく,,,"Genki, Kanji_Practice, leech, lesson-4, 中_and_半"
jzac3&EX(N,一年中,all year round,Y,いちねんじゅう,,,"Genki, Kanji_Practice, leech, lesson-4, 中_and_半"
i8a;#YCveZ,半分,half,Y,はんぶん,,,"Genki, Kanji_Practice, lesson-4, 中_and_半"
w`xelYD8T/,半額,Half price,Y,はんがく,,,"Genki, Kanji_Practice, lesson-4, 中_and_半"
Ii_cA]eUZg,これ,this one,Y,,,,"Genki, Words_that_Point"
"LWK-K,alh7",それ,that one,Y,,,,"Genki, Words_that_Point"
uL-21~qgks,あれ,that one (over there),Y,,,,"Genki, Words_that_Point"
"L8|3,S7ZC>",どれ,which one,Y,,,,"Genki, leech, Words_that_Point"
BX|)7`]Y_},この,this...,Y,,,,"Genki, Words_that_Point"
y8n[Y={#||,その,that...,Y,,,,"Genki, Words_that_Point"
fiHk+=ciXV,あの,that... (over there),Y,,,,"Genki, Words_that_Point"
e9=?<_&D$$,どの,which...,Y,,,,"Genki, Words_that_Point"
LUeL^3iz=H,ここ,here,Y,,,,"Genki, Words_that_Point"
N9pos5Bm+t,そこ,there,Y,,,,"Genki, Words_that_Point"
HILYT[t*r`,あそこ,over there,Y,,,,"Genki, Words_that_Point"
zdRm[Q&S{G,どこ,Where,Y,,,,"Genki, Words_that_Point"
Msb%?LCNe),だれ,who,Y,,,,"Genki, leech, Words_that_Point"
hFxoQ*p?qP,おいしい,delicious,Y,,,,"Food, Genki"
pumACC^la|,さかな,fish,Y,,,,"Food, Genki"
i.l{k*h]kn,とんかつ,pork cutlet,Y,,,,"Food, Genki"
y{&XHZ=@L3,肉,meat,Y,にく,,,"Food, Genki"
qMHVlhe4|_,メニュー,menu,Y,,,,"Food, Genki"
Ht:yS?14:X,やさい,vegetable,Y,,,,"Food, Genki, leech"
J]oq&{HCvS,えんぴつ,Pencil,Y,,,,"Genki, Things"
B**_CC7)Pb,かさ,umbrella,Y,,,,"Genki, leech, Things"
fF?sXneHZf,かばん,bag,Y,,,,"Genki, Things"
"d`D;0Gh,2Q",くつ,shoes,Y,,,,"Genki, Things"
z;axJOvIZ[,さいふ,wallet,Y,,,,"Genki, leech, Things"
k%L)U%c]QT,ジーンズ,jeans,Y,,,,"Genki, Things"
Je4yil0zI-,じしょ,dictionary,Y,,,,"Genki, Things"
"o-g,5*#2`v",じてんしゃ,bicycle,Y,,,,"Genki, Things"
K%Ot0-O(o3,しんぶん,newspaper,Y,,,,"Genki, Things"
KUa>p8jO<0,Ｔシャツ,T-shirt,Y,,,,"Genki, Things"
KIn{;Dc(N&,とけい,watch; clock,Y,,,,"Genki, Things"
ek&i{OQf=s,ノート,notebook,Y,,,,"Genki, Things"
MD<~=u/|^%,ペン,Pen,Y,,,,"Genki, Things"
QpV$/.73Pg,ぼうし,hat; cap,Y,,,,"Genki, Things"
MQO)Kb+tew,ほん,book,Y,,,,"Genki, Things"
jo@|Dg~z1*,きっさてん,cafe,Y,,,,"Genki, Places"
weYDx$!$&8,ぎんこう,bank,Y,,,,"Genki, Places"
wW4His=5o],トイレ,Toilet; restroom,Y,,,,"Genki, Places"
D_e<o0TZ*G,としょかん,library,Y,,,,"Genki, leech, Places"
PX}T;zn920,ゆうびんきょく,post office,Y,,,,"Genki, Places"
ql^1Zr)c$o,いくら,how much,Y,,,,"Genki, Money_and_Expressions"
qfnnqGi<;%,～えん,...yen,Y,,,,"Genki, Money_and_Expressions"
IcaVQSw5//,たかい,expensive; high,Y,,,,"Genki, Money_and_Expressions"
eRSOyBfq#},いらっしゃいませ,Welcome (to our store).,Y,,,,"Genki, Money_and_Expressions"
Q%dqz=$@Vj,（～を）おねがいします,"..., please.",Y,,,,"Genki, Money_and_Expressions"
OZo1d2M{jw,（～を）ください,Please give me...,Y,,,,"Genki, Money_and_Expressions"
i;;-+Lsy8A,じゃあ,"then...; if that is the case,...",Y,,,,"Genki, Money_and_Expressions"
M-03My7)T_,どうぞ,Please.; Here it is.,Y,,,,"Genki, Money_and_Expressions"
"ba/Q:I,hAC",どうも,Thank you.,Y,,,,"Genki, Money_and_Expressions"
yhq2]TMpKJ,よく,often; much,Y,,,,"Adverbs, Genki"
mD5gUgeX<f,いい,good,Y,,,,"Adjectives_and_Expressions, Genki"
k^b)BDn==E,早い,early,Y,はやい,,,"Adjectives_and_Expressions, Genki, leech"
fy/bmLOARF,そうですね,That's right.; Let me see.,Y,,,,"Adjectives_and_Expressions, Genki"
I~qK|EC>*y,でも,but,Y,,,,"Adjectives_and_Expressions, Genki"
OcyG);f>&U,どうですか,How about...?; How is it?,Y,,,,"Adjectives_and_Expressions, Genki, leech"
x|CgBxBpNY,アイスクリーム,ice cream,Y,,,,Genki
z+hrtHFuBC,ハンバーガー,hamburger,Y,,,,Genki
J2UYaNM5B#,コーヒー,coffee,Y,,,,Genki
P:?<pvV*;9,～ぐらい,About (an approximate measurement),Y,,,,"Adverbs_and_Expressions, Genki, lesson-4"
e4Dd[Pa6Xy,ごめんなさい,I'm sorry.,Y,,,,"Adverbs_and_Expressions, Genki, lesson-4"
j]|ltJrvR$,だから,so; therefore,Y,,,,"Adverbs_and_Expressions, Genki, leech, lesson-4"
l-0W.H`P/p,こくばん,blackboard,Y,,,,"Genki, leech, Useful_Expressions"
Ml<q`{[;;Y,でんき,(electric) light,Y,,,,"Genki, leech, Useful_Expressions"
J%g-WohpUs,ドア,door (western-style),Y,,,,"Genki, Useful_Expressions"
O_72&Iber|,カーテン,curtain; curtains,Y,,,,"Genki, Useful_Expressions"
eByt:J@ubF,まど,window,Y,,,,"Genki, Useful_Expressions"
b;eO*psi22,いす,chair; stool,Y,,,,"Genki, Useful_Expressions"
esJQv]D9zk,つくえ,Desk,Y,,,,"Genki, Useful_Expressions"
v5/Fl9`kmJ,けしゴム,eraser,Y,,,,"Genki, Useful_Expressions"
J:`QG2Pb#P,近く,Near; Nearby,Y,ちかく,,,"Genki, leech, lesson-4, Location_Words"
qd#AHFVK91,隣,next,Y,となり,,,"Genki, leech, lesson-4, Location_Words"
s!y@O{8:M^,わかりましたか。,Do you understand?,Y,,,,"Genki, In_the_Classroom, Japanese::Phrases, Useful_Expressions"
gd4!H^(VP(,わかりました。,I understood.,Y,,,,"Genki, In_the_Classroom, Useful_Expressions"
NyOOkrKch{,わかりません。,I don't understand./I don't know.,Y,,,,"Genki, In_the_Classroom, Japanese::Phrases, Useful_Expressions"
m%]~!NZz#7,ゆっくりいってください。,Please say it slowly.,Y,,,,"Genki, In_the_Classroom, Useful_Expressions"
dt?Nv;`uv>,もういちどいってください。,Please say it again.,Y,,,,"Genki, In_the_Classroom, Japanese::Phrases, leech, Useful_Expressions"
K9vjHh3m+y,ちょっとまってください。,Please wait.,Y,,,,"Genki, In_the_Classroom, Japanese::Phrases, leech, Useful_Expressions"
Od}7C1(bo!,きいてください。,Please listen./Please ask.,Y,,,,"Genki, In_the_Classroom, Useful_Expressions"
cvtT@k;Y_M,七人,Seven people,Y,ななにん／しちにん,,,"Genki, Japanese::Counters::人, Kanji_Practice, 七_and_八"
A1Iq382e_q,見物,Sightseeing,Y,けんぶつ,,,"Genki, Kanji_Practice, leech, lesson-5, 見_and_行"
m@}fFwQ-_/,花見,Flower viewing,Y,はなみ,,,"Genki, Kanji_Practice, lesson-5, 見_and_行"
NL`I_EmO|H,食堂,cafeteria,Y,しょくどう,,,"Genki, Kanji_Practice, leech, lesson-5, 食_and_飲"
z/a<EDK9Pw,朝食,breakfast (at a hotel),Y,ちょうしょく,,More formal / like in a hotel.,"Genki, Kanji_Practice, leech, lesson-5, Meals, 食_and_飲"
g8O]BW+5>t,コンサート,concert,Y,,,,"Genki, Katakana_Practice, lesson-5, Match_the_Words"
hLbM=V~z1M,カフェ,cafe,Y,,,,"Genki, Katakana_Practice, lesson-5, Match_the_Words"
BbR75jhoLZ,クラシック,classical music,Y,,,,"Genki, Katakana_Practice, lesson-5, Match_the_Words"
Je[mc^]+r%,ケーキ,cake,Y,,,,"Genki, Katakana_Practice, lesson-5, Match_the_Words"
y#p3qKRtq>,映画,Movie,Y,えいが,,,"Entertainment_and_Sports, Genki"
Qk&AxB+N0o,音楽,music,Y,おんがく,,,"Entertainment_and_Sports, Genki, leech"
qoU+]84=6k,雑誌,magazine,Y,ざっし,,,"Entertainment_and_Sports, Genki"
d;1<pwesbU,スポーツ,Sports,Y,,,,"Entertainment_and_Sports, Genki, Japanese::Sports"
Ny^P(}#>V?,デート,"date (romantic, not calendar)",Y,,,,"Entertainment_and_Sports, Genki"
iMiLReg5/D,テニス,tennis,Y,,,,"Entertainment_and_Sports, Genki, Japanese::Sports"
"dVL.iS.aK,",テレビ,TV,Y,,,,"Entertainment_and_Sports, Genki"
"Gr%R,~,L);",机,Desk,Y,つくえ,,,"Genki, lesson-4, People_and_Things"
d#BM0Fj(JQ,朝ご飯,Breakfast,Y,あさごはん,,The more casual form&nbsp; / Also used by families,"Genki, Meals"
izvZ8T=xgp,お酒,sake; alcohol,Y,おさけ,,,Genki
pPoDBL!H@g,お茶,green tea,Y,おちゃ,,,Genki
"qNz,#iR)~M",晩ご飯,dinner,Y,ばんごはん,,,"Genki, Meals"
tUdb2>BB8*,昼ご飯,lunch,Y,ひるごはん,,,"Genki, Meals"
g8b;M.Oh~|,家,home; house,Y,いえ,,,"Genki, Places_and_Time"
mac]Pa:hZ7,うち,home; house; (my place),Y,,,Talking about my home which you are more attached.,"Genki, Places_and_Time"
"uc<9,szVSA",学校,school,Y,がっこう,,,"Genki, leech, Places_and_Time"
os^wUD%/o5,朝,Morning,Y,あさ,,,"Genki, Places_and_Time"
w3o-Jx~O)4,明日,tomorrow,Y,あした,,,"Genki, leech, Places_and_Time"
Ol}Jjq#B{y,いつ,when,Y,,,,"Genki, leech, Places_and_Time"
oiK0vB}6Ce,今日,today,Y,きょう,,,"Genki, Kanji_Practice, lesson-5, 今_and_田"
"w7p@c2,S;8",～ごろ,at about...,Y,,,,"Genki, Places_and_Time"
phB0{me<cF,今晩,Tonight,Y,こんばん,,,"Genki, Kanji_Practice, leech, lesson-5, 今_and_田"
O@Cz6A+&PO,週末,weekend,Y,しゅうまつ,,,"Genki, Places_and_Time"
A#_RRA[a>],毎日,every day,Y,まいにち,,,"Genki, Kanji_Practice, lesson-4, 日_and_本"
Hq!d}iI!X*,毎晩,Every night,Y,まいばん,,,"Genki, Places_and_Time"
x$.NV6f&d[,あまり,not much,Y,,,,"Adverbs, Genki, leech"
o^|RTh/Db:,全然,not at all,Y,ぜんぜん,,,"Adverbs, Genki, leech"
jy`tIdXt02,たいてい,usually,Y,,,,"Adverbs, Genki, leech"
siBzAH.S2e,ちょっと,a little,Y,,,,"Adverbs, Genki"
zYv5gtluq],時々,sometimes,Y,ときどき,,,"Adverbs, Genki"
b7gGv4Me1m,一年生,first-year student,Y,いちねんせい,,,"Genki, Kanji_Practice, 一_and_二"
"A7rLw|,s}2",書留,registered mail,Y,かきとめ,,,"Genki, lesson-5, Post_Office_Words, Useful_Expressions"
BD.%/%pol$,たくさん,many; a lot,Y,,,,"Adverbs_and_Expressions, Genki, lesson-4"
Ld[yy5D~?),～と,together with (a person),Y,,,,"Adverbs_and_Expressions, Genki, lesson-4"
lbt36*3jCd,どうして,why,Y,,,,"Adverbs_and_Expressions, Genki, leech, lesson-4"
xr%;+bR+ZF,一人で,alone,Y,ひとりで,,,"Adverbs_and_Expressions, Genki, leech, lesson-4"
p(%65f}<:!,右,right (direction),Y,みぎ,,,"Genki, lesson-4, Location_Words"
LO(RHP~pfP,後ろ,Back,Y,うしろ,,,"Genki, leech, lesson-4, Location_Words"
o&?[Cheg@g,富士山,Mt. Fuji,Y,ふじさん,,,"Genki, Kanji_Practice, lesson-5, 山"
"t$HqI,*cmi",小川さん,Mr./Ms. Ogawa,Y,おがわさん,,,"Genki, Kanji_Practice, lesson-5, 山"
JaoO+iQ)+C,元気な,fine,Y,げんきな,,,"Genki, Kanji_Practice, lesson-5, 山"
LQS/(Eh8T/,天皇,Japanese emperor,Y,てんのう,,,"Genki, Kanji_Practice, leech, lesson-5, 気"
HFDC2}RV!1,女の人,woman (kun-yomi),Y,おんなのひと,,,"Genki, Kanji_Practice, lesson-5, 女_and_男"
F6g)cNi6d@,女性,"Female / (Woman, more formal)",Y,じょせい,,On yomi,"Genki, Kanji_Practice, lesson-5, 女_and_男"
I=9gxo?%cE,女の子,girl,Y,おんなのこ,,,"Genki, Kanji_Practice, leech, lesson-5, 女_and_男"
qyKe`H7k>i,男の人,man (kun-yomi)&nbsp;,Y,おとこのひと,,,"Genki, Kanji_Practice, lesson-5, 女_and_男"
AX?gFdi_hK,男性,male (or man (on-yomi)),Y,だんせい,,,"Genki, Kanji_Practice, leech, lesson-5, 女_and_男"
i9}({H&jDq,男の子,boy,Y,おとこのこ,,,"Genki, Kanji_Practice, lesson-5, 女_and_男"
"k,+PB&[v<Y",男子学生,male student,Y,だんしがくせい,,,"Genki, Kanji_Practice, lesson-5, 女_and_男"
o2Gi68cI_?,意見,opinion,Y,いけん,,,"Genki, Kanji_Practice, lesson-5, 見_and_行"
wcx`:4N)(E,銀行,bank,Y,ぎんこう,,,"Genki, Kanji_Practice, lesson-5, 見_and_行"
r/>%W_dy*{,食事,meal,Y,しょくじ,,,"Genki, Kanji_Practice, leech, lesson-5, Meals, 食_and_飲"
rs{M~7-;nK,あなた,you,Y,,,,"Genki, lesson-4, People_and_Things"
qC%i6vBp7x,いす,chair,Y,,,,"Genki, leech, lesson-4, People_and_Things"
"m_@w,7!dBY",犬,dog,Y,いぬ,,,"Genki, lesson-4, People_and_Things"
tU~neHjsUG,お土産,souvenir,Y,おみやげ,,,"Genki, leech, lesson-4, People_and_Things"
i?^nsK;5HX,子供,child,Y,こども,,,"Genki, leech, lesson-4, People_and_Things"
M:Bfq8Lz<n,ご飯,rice; meal,Y,ごはん,,,"Genki, lesson-4, Meals, People_and_Things"
u.$l(TUa>0,写真,picture; photograph,Y,しゃしん,,,"Genki, lesson-4, People_and_Things"
LJEn<Ma0SX,テスト,test,Y,,,,"Genki, lesson-5, Nouns"
tMi[!#ND%.,手紙,letter,Y,てがみ,,,"Genki, leech, lesson-4, People_and_Things"
sBKh%pIdPQ,猫,cat,Y,ねこ,,,"Genki, lesson-4, People_and_Things"
D1+7BIKTP[,パン,bread,Y,,,,"Genki, lesson-4, People_and_Things"
qtK8uYXo{w,バス,bus,Y,,,,"Genki, lesson-5, Nouns"
Dj9J:uZbtV,メール,e-mail,Y,,,,"Genki, lesson-4, People_and_Things"
qhbY.$#bCq,部屋,room,Y,へや,,,"Genki, lesson-5, Nouns"
oqtE:UJ&vp,アルバイト,part-time job,Y,,,,"Activities_and_Places, Genki, lesson-4"
Mjvi>|Rn*w,買い物,Shopping,Y,かいもの,,,"Activities_and_Places, Genki, leech, lesson-4"
E{FFYR-akz,クラス,class,Y,,,,"Activities_and_Places, Genki, lesson-4"
Kd)4[ww&m{,お寺,temple,Y,おてら,,,"Activities_and_Places, Genki, lesson-4"
oK{Hj^Y%+.,公園,Park,Y,こうえん,,,"Activities_and_Places, Genki, leech, lesson-4"
H`t~GH48H^,スーパー,supermarket,Y,,,,"Activities_and_Places, Genki, lesson-4"
k~`<*:$XNe,デパート,department store,Y,,,,"Activities_and_Places, Genki, lesson-4"
cuNN`n<:1P,バス停,bus stop,Y,バスてい,,,"Activities_and_Places, Genki, lesson-4"
I-L$QEBz1/,病院,hospital,Y,びょういん,,,"Activities_and_Places, Genki, leech, lesson-4"
n1@PgTFn0:,ホテル,hotel,Y,,,,"Activities_and_Places, Genki, lesson-4"
n{xC}?wb;*,本屋,bookstore,Y,ほんや,,,"Activities_and_Places, Genki, lesson-4"
e1=sZ=~5`+,町,"town, village, block, street",Y,まち,,,"Activities_and_Places, Genki, leech, lesson-4"
eV%b%<?7qx,レストラン,Restaurant,Y,,,,"Activities_and_Places, Genki, lesson-4"
H>Mt4`*2d`,すごく,extremely,Y,,,,"Genki, leech, lesson-5, Verbs_and_Expressions"
"CSG,_kIOFh",それから,and then,Y,,,,"Genki, leech, lesson-5, Verbs_and_Expressions"
JpHWTz6k+R,大丈夫,It's OK.; Not to worry.; Everything is under control.,Y,だいじょうぶ,,,"Genki, lesson-5, Verbs_and_Expressions"
"h__$wB=,qj",とても,very,Y,,,,"Genki, leech, lesson-5, Verbs_and_Expressions"
QbkU6d$d9&,どんな,what kind of...,Y,,,,"Genki, lesson-5, Verbs_and_Expressions"
"Im5XdZLZ?,",～枚,[counter for flat objects],Y,～まい,,,"Genki, Japanese::Counters::枚, leech, lesson-5, Verbs_and_Expressions"
"eA>6.8A,*o",窓口,counter,Y,まどぐち,,,"Genki, leech, lesson-5, Post_Office_Words, Useful_Expressions"
G;Q*OJdcY,保険,insurance,Y,ほけん,,,"Genki, lesson-5, Post_Office_Words, Useful_Expressions"
EUOk{4*v|;,これ、お願いします。,"Can you take care of this, please?",Y,,,,"Genki, lesson-5, Useful_Expressions"
mxZVyS%ya+,山川さん,Mr./Ms. Yamakawa,Y,やまかわさん,,,"Genki, Kanji_Practice, lesson-5, 山"
"Mg[I,^5(dn",地元,local,Y,じもと,,,"Genki, Kanji_Practice, leech, lesson-5, 山"
dJvz2EayN0,電気,electricity,Y,でんき,,,"Genki, Kanji_Practice, leech, lesson-5, 気"
"q6,^uT{GV[",気持ち,feeling,Y,きもち,,,"Genki, Kanji_Practice, leech, lesson-5, 気"
Q%enTJ[w+y,人気,popularity,Y,にんき,,,"Genki, Kanji_Practice, leech, lesson-5, 気"
I/1iS[6@jW,天国,heaven,Y,てんごく,,,"Genki, Kanji_Practice, leech, lesson-5, 気"
l3uIo9n06,天才,genius,Y,てんさい,,,"Genki, Kanji_Practice, lesson-5, 気"
L@/FdV]7iM,私,I,Y,わたし,,,"Genki, Kanji_Practice, lesson-5, 気"
JMqVAj}DmQ,私立大学,private university,Y,しりつだいがく,,,"Genki, Kanji_Practice, leech, lesson-5, 気"
o1XN*zJbWa,私鉄,private railroad,Y,してつ,,,"Genki, Kanji_Practice, lesson-5, 気"
nu`<|vB%xt,田中さん,Mr./Ms. Tanaka,Y,たなかさん,,,"Genki, Kanji_Practice, lesson-5, 今_and_田"
F!_VkP2D1Z,山田さん,Mr./Ms. Yamada,Y,やまださん,,,"Genki, Kanji_Practice, lesson-5, 今_and_田"
eI]JAHpCr$,田んぼ,rice field,Y,たんぼ,,,"Genki, Kanji_Practice, lesson-5, 今_and_田"
f&+:]~2OgO,海,sea,Y,うみ<rt></rt>,,,"Genki, lesson-5, Nouns"
rQ.iT{q!<l,切手,postal stamps,Y,きって,,,"Genki, leech, lesson-5, Nouns"
z[p6jZ~4w|,切符,Ticket,Y,きっぷ,,,"Genki, lesson-5, Nouns"
lM{$^oc$)m,サーフィン,surfing,Y,,,,"Genki, lesson-5, Nouns"
I{Y.6Uq;n%,宿題,homework,Y,しゅくだい,,,"Genki, leech, lesson-5, Nouns"
B]>^Mghcsa,食べ物,food,Y,たべもの,,,"Genki, lesson-5, Nouns"
"zLed8rjz+,",誕生日,birthday,Y,たんじょうび,,,"Genki, leech, lesson-5, Nouns"
I.esXJhcIN,天気,weather,Y,てんき,,,"Genki, leech, lesson-5, Nouns"
v:?fLy7ZV9,飲み物,drink,Y,のみもの,,,"Genki, lesson-5, Nouns"
gteK)YShVU,葉書,postcard,Y,はがき,,,"Genki, leech, lesson-5, Nouns"
fJoTncD0y>,飛行機,airplane,Y,ひこうき,,,"Genki, leech, lesson-5, Nouns"
i405`KYtsr,僕,I (used by men),Y,ぼく,,,"Genki, lesson-5, Nouns"
NBcJFDJhXf,休み,holiday; day off; absence,Y,やすみ,,,"Genki, lesson-5, Nouns"
v!d%[yI^(X,旅行,travel,Y,りょこう,,,"Genki, leech, lesson-5, Nouns"
ze#gs@>&ph,新しい,new,Y,あたらしい,,,"Genki, leech, lesson-5, い-adjectives"
K%G^WDIXZk,暑い,hot (weather),Y,あつい,,,"Genki, lesson-5, い-adjectives"
erKN)K&fCk,熱い,hot (thing),Y,あつい,,,"Genki, lesson-5, い-adjectives"
li6/$r0j9/,忙しい,busy (people/days),Y,いそがしい,,,"Genki, leech, lesson-5, い-adjectives"
A`t_gMI%y},大きい,big / large,Y,おおきい,,,"Genki, lesson-5, い-adjectives"
fL>3<ZInSN,面白い,interesting; funny,Y,おもしろい,,,"Genki, leech, lesson-5, い-adjectives"
"b.Zoz$ZJO,",かっこいい,good-looking,Y,,,,"Genki, leech, lesson-5, い-adjectives"
Pa-(C$QzAW,怖い,frightening,Y,こわい,,,"Genki, lesson-5, い-adjectives"
BZOR<0u2Q],寒い,cold (weather),Y,さむい,,,"Genki, lesson-5, い-adjectives"
b;e#;&5x||,楽しい,fun,Y,たのしい,,,"Genki, leech, lesson-5, い-adjectives"
i1Ur~{xrDD,小さい,small,Y,ちいさい,,,"Genki, lesson-5, い-adjectives"
r]r!p=ul{j,つまらない,boring,Y,,,,"Genki, leech, lesson-5, い-adjectives"
Nb!*3SsM#F,古い,old (thing),Y,ふるい,,,"Genki, leech, lesson-5, い-adjectives"
A@lUwXECtA,難しい,difficult,Y,むずかしい,,,"Genki, leech, lesson-5, い-adjectives"
HS%f(9leR4,やさしい,easy (problem); kind (person),Y,,,,"Genki, leech, lesson-5, い-adjectives"
ouEW*8]rS=,安い,inexpensive; cheap (thing),Y,やすい,,,"Genki, leech, lesson-5, い-adjectives"
x4QNj3y5:h,嫌い,disgusted with; to dislike,Y,きらい（な）,,,"Genki, leech, lesson-5, な-adjectives"
xPKo-X#7v_,きれい（な）,beautiful; clean,Y,,,,"Genki, leech, lesson-5, な-adjectives"
b0fyld=AZn,元気,healthy; energetic,Y,げんき（な）,,,"Genki, lesson-5, な-adjectives"
w?]?Mb|hjD,静か,quiet,Y,しずか（な）,,,"Genki, lesson-5, な-adjectives"
EV5aw+@vL|,好き,fond of; to like,Y,すき（な）,,,"Genki, lesson-5, な-adjectives"
A5E@?nF+X2,大嫌い,to hate,Y,だいきらい（な）,,,"Genki, lesson-5, な-adjectives"
s&|o%MV7.-,大好き,very fond of; to love,Y,だいすき（な）,,,"Genki, lesson-5, な-adjectives"
t4TL4VOTT#,にぎやか（な）,lively,Y,,,,"Genki, leech, lesson-5, な-adjectives"
"tqr2,nP@h}",暇,not busy; to have a lot of free time,Y,ひま（な）,,,"Genki, lesson-5, な-adjectives"
O}ysvX!4#V,一緒に,together,Y,いっしょに,,,"Genki, leech, lesson-5, Verbs_and_Expressions"
M?T3Jw*_Yu,～まで,to (a place); as far as (a place); till (a time),Y,,,,"Genki, leech, lesson-5, Verbs_and_Expressions"
A)=3h4o-.U,きたない,"dirty, messy",Y,,,,"Genki, leech, lesson-5, な-adjectives"
F_DI]nL!DP,めしや,Diner,Y,,,,Japanese::Nouns
Joo%1@XcV7,<div><div>夕食</div></div>,Evening meal / dinner (formal),Y,"<span style=""color: rgb(34, 34, 34);"">ゆう</span><span style=""color: rgb(34, 34, 34);"">しょく</span>",,A more formal way of saying dinner (like you are eating out at a restraurant),"leech, Meals"
k?FP@)7gB.,<div><div>昼食</div></div>,Lunch / midday meal (formal),Y,"<span style=""color: rgb(34, 34, 34);"">ちゅう</span><span style=""color: rgb(34, 34, 34);"">しょく</span>",,A more formal way to say lunch. Like eating out at a restaurant.,Meals
ctMA45D>Cc,二つ目の角を左に曲がる,Turn left at the second corner,Y,ふたつめのかどをひだりにまがる,,,"Directions, Genki, lesson-6, Useful_Expressions"
w^j0vu5ze.,道の左側,Left side of the street,Y,みちのひだりがわ,,,"Directions, Genki, lesson-6, Useful_Expressions"
QHKy1W9S=E,道の右側,Right side of the street,Y,みちのみぎがわ,,,"Directions, Genki, lesson-6, Useful_Expressions"
"Ll|08eapP,",姉,(my) older sister,Y,あね,,,"Genki, leech, lesson-7"
Heas.rlsI+,アパート,apartment,Y,,,,"Genki, lesson-7"
Kx>;L?VF$w,妹,younger sister,Y,いもうと,,,"Genki, leech, lesson-7"
hcMqsBb[[T,歌,song,Y,うた,,,"Genki, lesson-7"
e0A0}m8mb0,おじいさん,grandfather; old man,Y,,,,"Genki, lesson-7"
kJt*B?f/wd,弟,younger brother,Y,おとうと,,,"Genki, lesson-7"
Q@g*=QrRgo,男の人,man,Y,おとこのひと,,,"Genki, leech, lesson-7"
vug[YXKlfk,お兄さん,older brother,Y,おにいさん,,,"Genki, lesson-7"
s!#(fZ)kN7,お姉さん,older sister,Y,おねえさん,,,"Genki, lesson-7"
qP.w3N#0$6,おばあさん,grandmother; old woman,Y,,,,"Genki, lesson-7"
wgxn(a%%Ux,女の人,woman,Y,おんなのひと,,,"Genki, lesson-7"
tAtaaIptF/,家族,family,Y,かぞく,,,"Genki, leech, lesson-7"
gQ&a9bq({<,京子,Kyoko,Y,きょうこ,,,"Genki, Kanji_Practice, lesson-7, 京"
NCOH6>t`pG,京都,Kyoto,Y,きょうと,,,"Genki, Japanese::Cities, Kanji_Practice, lesson-7, 京"
